,Date,Weights,Profit,Base Profit,Volume,JKHY,EBIX,STRM,UIS,ATRI,CRY,TFX,MMM,CIGI,TRC,FRPH,CTO,cash
818,2017-04-05,"[0.24287602 0.         0.         0.         0.         0.14715332
 0.17278247 0.14309281 0.16460891 0.         0.         0.
 0.1294865 ]",1.4479151041204865,1.4886371454349008,0.01136172991035967,0.0,0.0,0.0,0.0,0.1471533179283142,0.17278246581554413,0.1430928111076355,0.1646089106798172,0.0,0.0,0.0,0.12948650121688843,0.24287602305412292
819,2017-04-06,"[0.2441047  0.         0.         0.         0.         0.14571826
 0.17367056 0.14309427 0.16368003 0.         0.         0.
 0.12973216]",1.4448315399097438,1.4775416541707,0.01567532903304744,0.0,0.0,0.0,0.0,0.1457182615995407,0.17367056012153625,0.1430942714214325,0.1636800318956375,0.0,0.0,0.0,0.1297321617603302,0.24410469830036163
820,2017-04-07,"[0.2441817  0.         0.         0.         0.         0.14561339
 0.17388918 0.14304046 0.16332379 0.         0.         0.
 0.12995152]",1.4395876007013753,1.4731222459833395,0.005999282383874288,0.0,0.0,0.0,0.0,0.1456133872270584,0.1738891750574112,0.1430404633283615,0.1633237898349762,0.0,0.0,0.0,0.12995152175426483,0.24418169260025024
821,2017-04-10,"[0.244388   0.         0.         0.         0.         0.14546542
 0.17400813 0.14298579 0.16320801 0.         0.         0.
 0.12994468]",1.4449222306780203,1.4811600189620082,0.006898950985319152,0.0,0.0,0.0,0.0,0.1454654186964035,0.17400813102722168,0.14298579096794128,0.1632080078125,0.0,0.0,0.0,0.12994468212127686,0.24438799917697906
822,2017-04-11,"[0.2446439  0.         0.         0.         0.         0.1448063
 0.17436166 0.14313504 0.16297536 0.         0.         0.
 0.13007776]",1.444682186976908,1.4797892610156589,0.006545635879869216,0.0,0.0,0.0,0.0,0.14480629563331604,0.17436166107654572,0.14313504099845886,0.16297535598278046,0.0,0.0,0.0,0.1300777643918991,0.244643896818161
823,2017-04-12,"[0.24435669 0.         0.         0.         0.         0.14479841
 0.1743728  0.1432294  0.1629383  0.         0.         0.
 0.13030444]",1.4413307920340646,1.4815404590278562,0.008835519145058394,0.0,0.0,0.0,0.0,0.1447984129190445,0.1743728071451187,0.1432293951511383,0.16293829679489136,0.0,0.0,0.0,0.13030444085597992,0.2443566918373108
824,2017-04-13,"[0.24416156 0.         0.         0.         0.         0.14455219
 0.1745037  0.14341486 0.16289486 0.         0.         0.
 0.13047284]",1.4534949736992193,1.4976731729312154,0.010719424854110378,0.0,0.0,0.0,0.0,0.14455218613147736,0.17450369894504547,0.14341485500335693,0.1628948599100113,0.0,0.0,0.0,0.1304728388786316,0.24416156113147736
825,2017-04-17,"[0.24339435 0.         0.         0.         0.         0.14442982
 0.1747115  0.14374845 0.1627924  0.         0.         0.
 0.13092352]",1.4350721318694803,1.480153995927975,0.004706018033411125,0.0,0.0,0.0,0.0,0.14442981779575348,0.17471149563789368,0.1437484472990036,0.1627923995256424,0.0,0.0,0.0,0.13092352449893951,0.24339434504508972
826,2017-04-18,"[0.2435473  0.         0.         0.         0.         0.1446442
 0.17468025 0.14356889 0.16253375 0.         0.         0.
 0.13102554]",1.4337443960179264,1.4763152205473493,0.016882287932500097,0.0,0.0,0.0,0.0,0.14464420080184937,0.17468024790287018,0.14356888830661774,0.1625337451696396,0.0,0.0,0.0,0.1310255378484726,0.24354730546474457
827,2017-04-19,"[0.2432663  0.         0.         0.         0.         0.1447597
 0.17462094 0.14369933 0.16254556 0.         0.         0.
 0.13110821]",1.4357406297962012,1.487456955078571,0.0028976951555268076,0.0,0.0,0.0,0.0,0.14475969970226288,0.17462094128131866,0.14369933307170868,0.1625455617904663,0.0,0.0,0.0,0.13110820949077606,0.243266299366951
