,Date,Weights,Profit,Base Profit,Volume,JNJ,PFE,ABT,BMY,F,OSK,SPAR,PCAR,LAWS,KAMN,WLFC,HDSN,cash
333,2015-05-04,"[0.09961604 0.         0.08745271 0.09171464 0.08019061 0.08792756
 0.0954895  0.09123155 0.10299894 0.         0.08476119 0.09876034
 0.07985694]",1.1075240537072346,1.1512503748493557,0.01407272446481288,0.0,0.0874527096748352,0.09171464294195175,0.08019061386585236,0.08792756497859955,0.095489501953125,0.09123155474662781,0.10299894213676453,0.0,0.08476119488477707,0.09876033663749695,0.07985693961381912,0.09961603581905365
334,2015-05-05,"[0.09962565 0.         0.08746351 0.09175612 0.08018925 0.08789869
 0.0954972  0.09118295 0.10299182 0.         0.08476022 0.09876367
 0.07987095]",1.1127616776235496,1.1573685616744263,0.008506767227541203,0.0,0.08746350556612015,0.09175612032413483,0.08018925040960312,0.08789869397878647,0.09549719840288162,0.09118295460939407,0.10299181938171387,0.0,0.08476021885871887,0.09876366704702377,0.07987094670534134,0.09962565451860428
335,2015-05-06,"[0.09962793 0.         0.08745012 0.09172722 0.08016072 0.08792637
 0.09550916 0.09121285 0.10300408 0.         0.08476607 0.09876778
 0.07984771]",1.1132281706436375,1.1574050808415188,0.006314707324275369,0.0,0.08745011687278748,0.09172721952199936,0.0801607221364975,0.08792636543512344,0.09550916403532028,0.09121284633874893,0.1030040830373764,0.0,0.08476606756448746,0.09876777976751328,0.07984770834445953,0.09962793439626694
336,2015-05-07,"[0.09963416 0.         0.08744424 0.09175073 0.08011524 0.0879435
 0.09553535 0.09119549 0.10298979 0.         0.0847755  0.09877799
 0.07983799]",1.1102497095167603,1.156364230057428,0.006074218118997817,0.0,0.0874442383646965,0.09175072610378265,0.08011523634195328,0.08794350177049637,0.09553534537553787,0.0911954939365387,0.10298978537321091,0.0,0.08477549999952316,0.09877799451351166,0.07983799278736115,0.09963416308164597
337,2015-05-08,"[0.09967995 0.         0.08746836 0.09167235 0.08019815 0.08787824
 0.09551121 0.09122745 0.10303169 0.         0.08477038 0.0987529
 0.07980927]",1.0959685264476466,1.143699550508838,0.014142217270145665,0.0,0.08746835589408875,0.09167235344648361,0.08019814640283585,0.08787824213504791,0.09551121294498444,0.0912274494767189,0.1030316948890686,0.0,0.08477038145065308,0.09875290095806122,0.07980927079916,0.09967994689941406
338,2015-05-11,"[0.09971946 0.         0.08750203 0.09153564 0.08030161 0.08781139
 0.09545778 0.09130114 0.10312384 0.         0.08476754 0.09872064
 0.07975893]",1.0956250311907016,1.1412252298915806,0.011183454944990385,0.0,0.08750203251838684,0.09153564274311066,0.08030160516500473,0.08781138807535172,0.0954577773809433,0.09130114316940308,0.10312384366989136,0.0,0.08476753532886505,0.09872063994407654,0.07975892722606659,0.09971945732831955
339,2015-05-12,"[0.09971676 0.         0.08750144 0.0915598  0.08028121 0.08781438
 0.09546588 0.09128141 0.1031158  0.         0.08477029 0.09872779
 0.07976522]",1.0974281716969199,1.144421314064963,0.016968622781626475,0.0,0.08750144392251968,0.09155979752540588,0.08028121292591095,0.08781437575817108,0.09546587616205215,0.09128140658140182,0.10311579704284668,0.0,0.08477029204368591,0.09872778505086899,0.0797652155160904,0.09971676021814346
340,2015-05-13,"[0.09972773 0.         0.08750268 0.09153146 0.08030268 0.08780368
 0.09545722 0.09130022 0.10312962 0.         0.08476815 0.09872283
 0.07975376]",1.0994207611237612,1.145599268575069,0.009762544401060192,0.0,0.08750268071889877,0.09153146296739578,0.08030267804861069,0.0878036841750145,0.09545721858739853,0.09130021929740906,0.10312961786985397,0.0,0.0847681537270546,0.09872283041477203,0.07975375652313232,0.09972772747278214
341,2015-05-14,"[0.09972807 0.         0.08751144 0.09154079 0.08030464 0.08778838
 0.09545062 0.09127496 0.10314858 0.         0.08476418 0.09873048
 0.07975786]",1.101354467522493,1.148952255082145,0.008720158127536595,0.0,0.08751143515110016,0.09154079109430313,0.08030463755130768,0.08778838068246841,0.09545061737298965,0.09127496182918549,0.10314857959747314,0.0,0.08476417511701584,0.09873048216104507,0.07975786179304123,0.0997280701994896
342,2015-05-15,"[0.09939952 0.         0.08756939 0.09206598 0.08022621 0.08780676
 0.0953632  0.09086938 0.10313703 0.         0.08463057 0.0988067
 0.08012527]",1.109928640040741,1.1595862971399904,0.004073472849949185,0.0,0.08756938576698303,0.09206598252058029,0.08022620528936386,0.08780676126480103,0.09536319971084595,0.09086938202381134,0.10313703119754791,0.0,0.0846305713057518,0.0988067016005516,0.08012527227401733,0.09939952194690704
