,Date,Weights,Profit,Base Profit,Volume,ITT,IEX,GGG,FLS,ABT,JNJ,PFE,BMY,PCAR,F,SPAR,OSK,cash
69,2014-04-15,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9934486356904625,0.9931203001741883,0.007098797020339774,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
70,2014-04-16,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.989274351177287,0.989010426409591,0.00748024200913473,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
71,2014-04-17,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9972186894715616,0.9994745352376271,0.007529083500196734,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
72,2014-04-21,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.0011947170532698,1.0049452672514803,0.010716449561468588,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
73,2014-04-22,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.0097874994287408,1.0120282923918782,0.0065864851517610425,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
74,2014-04-23,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.013334108036989,1.0173599059707494,0.008091463108510801,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
75,2014-04-24,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.020371877553436,1.0222607794540195,0.00585960901780774,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
76,2014-04-25,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.0182392784162222,1.0201415382654169,0.00704993019229121,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
77,2014-04-28,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.0001735371983123,1.001875876807215,0.008949032662961263,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
78,2014-04-29,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.002799836877058,1.0033665819559419,0.007990112127818645,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
79,2014-04-30,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.0005149703936214,0.9967141623005714,0.011013422596778143,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
80,2014-05-01,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.000003004123779,0.9972154515549181,0.017724966860961613,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
81,2014-05-02,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.005420744062706,1.007051832489715,0.007025203631450911,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
82,2014-05-05,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",1.0028263732896696,1.0028469847903854,0.008522305061232588,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
83,2014-05-06,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9884198714731797,0.9922656463781264,0.005359697838649765,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
84,2014-05-07,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9918409038979271,0.9971938708669934,0.012824922662315566,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
85,2014-05-08,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9840237679610077,0.9935275751705194,0.006458871509618407,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
86,2014-05-09,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.983059178629497,0.9948957849764963,0.009069143515425768,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
87,2014-05-12,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.976455685498697,0.9917271292824018,0.005413738297829405,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
88,2014-05-13,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9879137715751927,1.0007112057039094,0.009963031608599626,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
89,2014-05-14,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9996036117334957,1.012044382552593,0.010147422931805745,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
90,2014-05-15,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9967587427627823,1.008321020452828,0.009666066108217934,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
91,2014-05-16,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9754715424606848,0.987313899324629,0.005733570745358133,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
92,2014-05-19,"[0.         0.11111111 0.11111111 0.11111111 0.         0.11111111
 0.         0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.11111111]",0.9715336757409111,0.9825253856834623,0.216771453880152,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
93,2014-05-20,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9760532039869967,0.9833763345252847,0.21388207463586992,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
94,2014-05-21,"[0.    0.    0.125 0.125 0.    0.125 0.    0.125 0.    0.125 0.125 0.125
 0.125]",0.9836016193528968,0.9916913447904868,0.004072438048042536,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0
