,Date,Weights,Profit,Base Profit,AMS,PMD,LH,DGX,WLFC,KAMN,LAWS,HDSN,JNJ,BMY,PFE,ABT,cash
681,2016-09-19,"[0.         0.         0.         0.08101066 0.13285765 0.25296837
 0.         0.         0.07973988 0.         0.11581279 0.19619788
 0.14141277]",1.2507114657367666,1.2209142231842114,0.0,0.0,0.0810106649469927,0.13285764925577984,0.2529683656024596,0.0,0.0,0.07973987692701431,0.0,0.11581279364081613,0.19619787890268325,0.14141277072425415,0.0
682,2016-09-20,"[0.         0.         0.         0.08017067 0.13281889 0.25379808
 0.         0.         0.08035902 0.         0.11612471 0.19702798
 0.13970065]",1.2502903644172207,1.236423963100171,0.0,0.0,0.08017066510578517,0.13281889413561226,0.2537980794885745,0.0,0.0,0.08035901613437023,0.0,0.11612471114189515,0.19702797934927285,0.13970065464448983,0.0
683,2016-09-21,"[0.         0.         0.         0.08011752 0.13253882 0.25376263
 0.         0.         0.08039754 0.         0.11639539 0.19706499
 0.13972311]",1.2543253091123883,1.2428308328909665,0.0,0.0,0.08011752434369401,0.13253881632085923,0.25376263347689476,0.0,0.0,0.08039753732660734,0.0,0.11639538625470136,0.19706498957436125,0.13972311270288199,0.0
684,2016-09-22,"[0.         0.         0.         0.08033812 0.13214875 0.25357947
 0.         0.         0.08025972 0.         0.11646886 0.1968857
 0.14031939]",1.2569669740338012,1.2429261118320722,0.0,0.0,0.08033811650437088,0.13214875128692036,0.25357947280170023,0.0,0.0,0.08025971673671063,0.0,0.11646885570837698,0.19688569573246487,0.14031939122945591,0.0
685,2016-09-23,"[0.         0.         0.         0.08033882 0.13210143 0.25357223
 0.         0.         0.08023443 0.         0.11652007 0.19690843
 0.1403246 ]",1.2759417644901039,1.2608025269461611,0.0,0.0,0.0803388183427954,0.13210143323203763,0.253572230672933,0.0,0.0,0.08023442617767151,0.0,0.1165200674887454,0.19690842500603836,0.14032459907977865,0.0
686,2016-09-26,"[0.         0.         0.         0.08027008 0.13216296 0.25349948
 0.         0.         0.08014838 0.         0.11664317 0.19686382
 0.14041211]",1.2781872127253755,1.2615230495867327,0.0,0.0,0.0802700778143537,0.13216296196109803,0.2534994796098239,0.0,0.0,0.08014838102295552,0.0,0.11664317281177318,0.19686381531947889,0.14041211146051683,0.0
687,2016-09-27,"[0.         0.         0.         0.07956652 0.1323208  0.25369115
 0.         0.         0.07991535 0.         0.11713421 0.19746326
 0.13990871]",1.2727623682783193,1.2663807715329007,0.0,0.0,0.07956651787245037,0.13232079642980743,0.2536911549383204,0.0,0.0,0.07991535004392308,0.0,0.11713420816690531,0.1974632642481323,0.1399087083004611,0.0
688,2016-09-28,"[0.         0.         0.         0.0801224  0.13172689 0.25330558
 0.         0.         0.08012957 0.         0.11715303 0.19701751
 0.14054502]",1.269721315692953,1.2619102150059482,0.0,0.0,0.080122398686077,0.13172689425134712,0.25330558200662084,0.0,0.0,0.08012956718547615,0.0,0.11715303351077336,0.19701750747724073,0.14054501688246482,0.0
689,2016-09-29,"[0.         0.         0.         0.08857606 0.13019085 0.24803262
 0.         0.         0.08261452 0.         0.11717519 0.18992679
 0.14348397]",1.2753947920437763,1.270452897389177,0.0,0.0,0.08857605578838813,0.13019084848461168,0.24803262265642773,0.0,0.0,0.0826145233519235,0.0,0.11717518806818353,0.18992679142912244,0.14348397022134302,0.0
690,2016-09-30,"[0.         0.         0.         0.0912228  0.12969108 0.2461558
 0.         0.         0.08371854 0.         0.11703864 0.18746993
 0.14470321]",1.2765418089962173,1.2671614257316384,0.0,0.0,0.09122279891092336,0.12969107754586714,0.24615580199394235,0.0,0.0,0.08371854461185789,0.0,0.11703863738595406,0.1874699326753661,0.14470320687608917,0.0
691,2016-10-03,"[0.         0.         0.         0.09161382 0.1295749  0.24558024
 0.         0.         0.08383981 0.         0.11719649 0.18694327
 0.14525148]",1.2669272471734683,1.2612864651457434,0.0,0.0,0.0916138155111953,0.12957490448043313,0.24558023519685168,0.0,0.0,0.08383980708979238,0.0,0.11719648681649267,0.1869432662051351,0.14525148470009977,0.0
